tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia,10000,0.036066833,5660,6200,0.001817788,0.000008883,0.00139358,0.000009095
sophia,10000,0.033884005,5660,6200,0.001499978,0.000008579,0.00136841,0.00000863
sophia,10000,0.033779147,5660,6200,0.001538217,0.000008813,0.001505637,0.000009046
sophia,10000,0.034562238,5660,6200,0.00160151,0.000009458,0.001474835,0.000010201
sophia,20000,0.066103886,10088,11748,0.003201818,0.000018506,0.002913365,0.000026766
sophia,20000,0.06737547,10088,11588,0.003263064,0.000018021,0.002799362,0.000022125
sophia,20000,0.067375359,10088,11588,0.003338981,0.000019012,0.002961559,0.000023336
sophia,20000,0.066641424,10088,11588,0.00327709,0.000018386,0.002826172,0.000027939
sophia,40000,0.133626504,18980,22292,0.006785365,0.000048791,0.005652256,0.000062749
sophia,40000,0.131557185,18980,19856,0.006480393,0.000044089,0.006275783,0.000048412
sophia,40000,0.13028366,18980,19732,0.006542439,0.000040766,0.005821246,0.000057641
sophia,40000,0.132414495,18980,19880,0.006551657,0.000039558,0.006479096,0.000050987
sophia,80000,0.268506936,36936,43852,0.013450838,0.0001945,0.011972769,0.00016755
sophia,80000,0.268485915,36936,38356,0.013340964,0.000188768,0.012014325,0.000163982
sophia,80000,0.263191508,36936,38416,0.013615606,0.000190606,0.013121226,0.000199513
sophia,80000,0.265816552,36936,38288,0.014017047,0.000187178,0.012581484,0.000177064
sophia,100000,0.355547101,47044,52248,0.015324212,0.000260929,0.013765634,0.000238062
sophia,100000,0.346856227,47044,52632,0.015397674,0.000261387,0.014004501,0.000244667
sophia,100000,0.345498554,47044,52440,0.015146555,0.000266965,0.013926329,0.000250542
sophia,100000,0.342838348,47044,52768,0.015368436,0.000269778,0.014199856,0.000250775
sophia,1000000,3.467164839,372872,414784,0.249964104,0.0042916,0.238188347,0.004160844
sophia,1000000,3.461289034,372872,398472,0.245656609,0.004174957,0.243224453,0.0041695
sophia,1000000,3.4587480299999998,372872,400052,0.24869706,0.004167825,0.243539677,0.004255114
sophia,1000000,3.460576813,372872,416832,0.24788564,0.00420322,0.238246355,0.004250131
