tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_full,10000,0.034649739,4372,5976,0.003731819,0.000120903,0.001436939,0.000100715
sophia_full,10000,0.036494992,4372,5976,0.004272523,0.000113779,0.00152152,0.000110917
sophia_full,10000,0.036117062,4372,5976,0.00400345,0.000116818,0.001538738,0.000115938
sophia_full,10000,0.037632346,4372,5976,0.004287874,0.000118674,0.001528489,0.000116776
sophia_full,20000,0.0711012,7528,11036,0.008488131,0.000237435,0.003126299,0.000237959
sophia_full,20000,0.072263523,7528,11340,0.008532552,0.000249551,0.003409236,0.000248923
sophia_full,20000,0.073349514,7528,10884,0.008432028,0.000242794,0.003199935,0.000244619
sophia_full,20000,0.073174109,7528,10884,0.008401828,0.000250135,0.003260814,0.00024916
sophia_full,40000,0.142622392,14360,21256,0.018697379,0.000548084,0.007212388,0.000531563
sophia_full,40000,0.143543588,14360,21504,0.018764108,0.000544758,0.006924077,0.000551997
sophia_full,40000,0.143481962,14360,21256,0.018645164,0.000547865,0.006970816,0.000545139
sophia_full,40000,0.143913945,14360,21504,0.018639224,0.000530398,0.0068535,0.000557355
sophia_full,80000,0.288057274,27992,41652,0.040044714,0.001483516,0.014392884,0.001449808
sophia_full,80000,0.277476452,27992,42064,0.041628363,0.00141028,0.014550126,0.001420167
sophia_full,80000,0.280286843,27992,40996,0.040473943,0.001455759,0.014216236,0.001422473
sophia_full,80000,0.277696217,27992,41588,0.041153803,0.001924531,0.014391764,0.00143961
sophia_full,100000,0.369247383,37652,51392,0.047074939,0.001849784,0.017481941,0.001872413
sophia_full,100000,0.365172487,37652,50604,0.047273584,0.001901268,0.016986921,0.001980819
sophia_full,100000,0.37228384,37652,51392,0.048398871,0.001919437,0.01762542,0.001973932
sophia_full,100000,0.371417149,37652,50604,0.052082853,0.001913589,0.017943406,0.001804927
sophia_full,1000000,3.547693327,314732,388840,0.631310514,0.050478316,0.268235872,0.050530746
sophia_full,1000000,3.535384465,314732,424196,0.636450792,0.052389816,0.261080166,0.051177235
sophia_full,1000000,3.467420539,314732,385752,0.634193843,0.052673455,0.256672743,0.049925304
sophia_full,1000000,3.452894294,314732,397224,0.633887782,0.050679174,0.261688878,0.05057768
