tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_js_lg,10000,0.28177055200003087,6104,6104,0.004873863999731839,0.0012661529993638397,0.0044653599997982385,0.0012682560002431273
sophia_js_lg,10000,0.27389818700030444,6456,6456,0.005130260000005365,0.0012964220000430942,0.004733106999658048,0.001292345999740064
sophia_js_lg,10000,0.27072165700048206,5280,5280,0.005159268000163138,0.0012965759998187422,0.004702633999288082,0.0012849460002034904
sophia_js_lg,10000,0.2715718970000744,5592,5592,0.005147113999351859,0.001324885000474751,0.004744833000004291,0.001339830999262631
sophia_js_lg,20000,0.4503348610000685,12676,12676,0.00900729800015688,0.002375167000107467,0.008427388000302016,0.002541764999739826
sophia_js_lg,20000,0.4427371120005846,13136,13136,0.00915170199982822,0.0024295899998396635,0.008766476000659168,0.00294336299970746
sophia_js_lg,20000,0.4449983820002526,13664,13664,0.009103961000218987,0.002327907000668347,0.00841357999946922,0.0025181609997525813
sophia_js_lg,20000,0.45064690000005064,13188,13188,0.009083513000048697,0.0024411679999902843,0.008724581999704242,0.0026087939999997617
sophia_js_lg,40000,0.7130508810002357,14168,14168,0.015589829999953508,0.004480612999759615,0.015804484999738633,0.00398367500025779
sophia_js_lg,40000,0.7151573519995436,13700,13700,0.015956538999453186,0.004649780999869109,0.016206744999624788,0.003693067000247538
sophia_js_lg,40000,0.7087896619997919,13664,13664,0.015724232999607922,0.004785610000602901,0.016018323000520467,0.0035109280003234743
sophia_js_lg,40000,0.7073106370000168,12676,12676,0.015915129999630153,0.004336134000681341,0.016004293999634683,0.0037599749993532895
sophia_js_lg,80000,1.2187360209999607,14188,14188,0.03176175400055945,0.0077230340000241995,0.030399744000285864,0.005036910000257194
sophia_js_lg,80000,1.2441913820002228,14268,14268,0.030793436999432742,0.008085854000411927,0.030885395000688733,0.005559981000609696
sophia_js_lg,80000,1.2372765480000525,14828,14828,0.030306502999737858,0.008138085000216962,0.03185316800046712,0.005724054000340402
sophia_js_lg,80000,1.2262284850003198,14620,14620,0.030424273000098766,0.008264288000762463,0.030941093999892474,0.005578234000131488
sophia_js_lg,100000,1.4872744469996542,12968,12968,0.03492241999972612,0.00969289099983871,0.03585994399990886,0.0072806950006634
sophia_js_lg,100000,1.4940073119997979,13260,13260,0.03490464900061488,0.011022853000089526,0.03599578000046313,0.006901701999828219
sophia_js_lg,100000,1.5008714699996635,13188,13188,0.03711330599989742,0.009726761999540031,0.03659922100044787,0.00720940800011158
sophia_js_lg,100000,1.4830970789995044,13700,13700,0.034602210000157355,0.009219233999960124,0.03553512299992144,0.006662301999516785
sophia_js_lg,1000000,12.651792310000397,29460,29460,0.4901241300003603,0.07914761499967427,0.506473080999218,0.08196673499979079
sophia_js_lg,1000000,12.737459236999973,28548,28548,0.49448752800002693,0.08083186599984765,0.5037804629998281,0.08131764400005341
sophia_js_lg,1000000,12.559997093999758,28548,28548,0.5081630640001967,0.08304808199964464,0.5179646610002965,0.08230723599996417
sophia_js_lg,1000000,12.721472644000315,30200,30200,0.49953594500012694,0.07941510399989783,0.5094281309992075,0.08168350400030613
