tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_lg,10000,0.030782627,3448,3448,0.001520566,0.000008802,0.001449423,0.000008835
sophia_lg,10000,0.030132071,3448,3448,0.001838995,0.00001424,0.00149272,0.000012739
sophia_lg,10000,0.030382734,3448,3448,0.001629364,0.000009869,0.001483369,0.000012583
sophia_lg,10000,0.030214082,3448,3448,0.001597352,0.000009024,0.00167658,0.000008899
sophia_lg,20000,0.055797424,5288,6208,0.003445004,0.000018489,0.003023497,0.00001823
sophia_lg,20000,0.057568372,5288,6208,0.00348516,0.000020346,0.002967813,0.00001951
sophia_lg,20000,0.057296829,5288,6208,0.003340419,0.000018251,0.002913828,0.000018242
sophia_lg,20000,0.057311506,5288,6208,0.00347278,0.000017519,0.00298037,0.000017716
sophia_lg,40000,0.110406983,9628,11608,0.007010673,0.000054613,0.006321247,0.000065322
sophia_lg,40000,0.110960914,9628,11608,0.007409475,0.000062161,0.006439151,0.000062191
sophia_lg,40000,0.110157921,9628,11608,0.007147288,0.000059277,0.006511246,0.000060042
sophia_lg,40000,0.109468632,9628,11608,0.007202705,0.000066002,0.006250966,0.000067102
sophia_lg,80000,0.216216998,18212,22172,0.015113796,0.000215377,0.013773651,0.000218712
sophia_lg,80000,0.216882423,18212,22172,0.015449935,0.00021989,0.014303552,0.000203001
sophia_lg,80000,0.215515228,18212,22172,0.015283436,0.000215194,0.014060958,0.000206963
sophia_lg,80000,0.219400812,18212,22172,0.015218459,0.000216509,0.014027919,0.000208361
sophia_lg,100000,0.279622663,26436,29648,0.017880153,0.00029159,0.017266326,0.000279231
sophia_lg,100000,0.27952536,26436,29644,0.01951378,0.00029828,0.017561327,0.000286027
sophia_lg,100000,0.280215247,26436,29644,0.017976177,0.000288881,0.018016718,0.000292396
sophia_lg,100000,0.282094232,26436,29644,0.017868079,0.000289366,0.017227648,0.000285618
sophia_lg,1000000,2.749512297,153108,171940,0.277606675,0.004166776,0.271183993,0.00425686
sophia_lg,1000000,3.204918537,153108,171940,0.311821543,0.004258772,0.305042272,0.004224113
sophia_lg,1000000,3.294092616,153108,171940,0.313733187,0.004240654,0.300540147,0.004194699
sophia_lg,1000000,3.2919980620000002,153108,171940,0.304941722,0.00440701,0.297413206,0.004286773
