tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_tree,10000,0.030407728,2772,3504,0.001514618,0.000052343,0.001290346,0.000052149
sophia_tree,10000,0.030286707,2772,3504,0.001359514,0.000054847,0.001241106,0.000054867
sophia_tree,10000,0.0312885,2772,3504,0.001430009,0.000053379,0.001309859,0.000054701
sophia_tree,10000,0.031127258,2772,3504,0.001621629,0.000055922,0.001280159,0.000055544
sophia_tree,20000,0.061088164,4916,6244,0.003081475,0.000117972,0.002681185,0.000116884
sophia_tree,20000,0.062542674,4916,6244,0.003191537,0.000119222,0.002796127,0.000118869
sophia_tree,20000,0.063959783,4916,6244,0.003224705,0.000120988,0.002794867,0.000120809
sophia_tree,20000,0.065055621,4916,6244,0.003202366,0.000121081,0.002929418,0.000121527
sophia_tree,40000,0.130090453,9120,11676,0.006886333,0.000248372,0.006130508,0.000255352
sophia_tree,40000,0.131841104,9120,11676,0.006712845,0.000284008,0.006133663,0.000284297
sophia_tree,40000,0.130489424,9120,11676,0.006863495,0.00026931,0.00604873,0.000269993
sophia_tree,40000,0.131946488,9120,11676,0.006763428,0.000265102,0.005958976,0.000251224
sophia_tree,80000,0.270044599,17468,22440,0.013507814,0.00059064,0.01247698,0.000596767
sophia_tree,80000,0.266569011,17468,22440,0.013621901,0.000529302,0.012367376,0.000508234
sophia_tree,80000,0.268298263,17468,22440,0.013651208,0.000519189,0.012264778,0.000503234
sophia_tree,80000,0.264541911,17468,22440,0.013545285,0.000530068,0.012335528,0.000532327
sophia_tree,100000,0.353025867,26904,30576,0.015613208,0.000655254,0.014685909,0.000642133
sophia_tree,100000,0.34661461,26904,30576,0.016735798,0.00069799,0.015369727,0.000653762
sophia_tree,100000,0.347881311,26904,30576,0.015727266,0.000664564,0.014745207,0.000662311
sophia_tree,100000,0.349228583,26904,30576,0.016055997,0.000658851,0.01453467,0.000654637
sophia_tree,1000000,3.373623516,151072,158756,0.231515585,0.007981949,0.226928582,0.007955981
sophia_tree,1000000,3.357918928,151072,158756,0.227122621,0.007818234,0.226338603,0.007859501
sophia_tree,1000000,3.350706511,151072,158756,0.229117729,0.007949074,0.227580724,0.008048806
sophia_tree,1000000,3.343055735,151072,158756,0.231501787,0.008049117,0.228898923,0.00807937
