tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_tree,10000,0.031416631,2792,3188,0.001287149,0.000000692,0.00001194,0.000000462
sophia_tree,10000,0.031026569,2792,3188,0.001319863,0.000000599,0.000012164,0.000000512
sophia_tree,10000,0.031535358,2792,3188,0.001449501,0.000000615,0.000012041,0.000000516
sophia_tree,10000,0.031499135,2792,3188,0.00140751,0.000000724,0.00001312,0.000000512
sophia_tree,20000,0.061107877,4916,5580,0.002770635,0.000000655,0.000012924,0.00000055
sophia_tree,20000,0.062540869,4916,5580,0.002867561,0.000000717,0.000014292,0.000000562
sophia_tree,20000,0.063329427,4916,5580,0.002890899,0.000000792,0.000012965,0.000000539
sophia_tree,20000,0.065083212,4916,5580,0.002936679,0.000000784,0.000013064,0.000000578
sophia_tree,40000,0.131386967,9116,10312,0.006547977,0.000000744,0.000014633,0.000000576
sophia_tree,40000,0.132762178,9116,10312,0.006398463,0.000000724,0.000014734,0.000000639
sophia_tree,40000,0.131983068,9116,10312,0.006622303,0.000000709,0.000015104,0.000000517
sophia_tree,40000,0.135108173,9116,10312,0.006473992,0.000000768,0.000014599,0.000000557
sophia_tree,80000,0.26685149,17468,19844,0.013819696,0.000000861,0.000015328,0.000000551
sophia_tree,80000,0.267344976,17468,19844,0.013802732,0.00000085,0.000014266,0.000000552
sophia_tree,80000,0.267178155,17468,19844,0.014276352,0.000000719,0.000014796,0.000000584
sophia_tree,80000,0.268255903,17468,19844,0.013867181,0.000000824,0.000016843,0.000000672
sophia_tree,100000,0.347349759,26904,28356,0.01736707,0.000000791,0.000014568,0.000000543
sophia_tree,100000,0.347908844,26904,28356,0.017308795,0.000000745,0.000014262,0.000000515
sophia_tree,100000,0.351678308,26904,28356,0.017296484,0.000000758,0.000015953,0.000000507
sophia_tree,100000,0.348236329,26904,28356,0.017256696,0.000000838,0.000014866,0.000000535
sophia_tree,1000000,3.3991802079999998,151072,180112,0.243806087,0.000000957,0.000015178,0.000000518
sophia_tree,1000000,3.340262661,151072,180112,0.242747296,0.000000918,0.000013875,0.000000547
sophia_tree,1000000,3.380408479,151072,180112,0.242307838,0.000000868,0.000014168,0.000000585
sophia_tree,1000000,3.344503815,151072,180112,0.242162779,0.00000085,0.000014785,0.000000573
