tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia,10000,0.038264549,5544,5544,0.000214289,0.000000328,0.000156375,0.000000193
sophia,10000,0.039016377,5544,5544,0.000239689,0.000000374,0.000161404,0.000000209
sophia,10000,0.039419458,5544,5544,0.000224565,0.000000316,0.000154281,0.000000206
sophia,10000,0.038682626,5544,5544,0.000223535,0.000000305,0.000154229,0.000000251
sophia,20000,0.078118637,10088,10088,0.000468088,0.000000362,0.000316904,0.000000234
sophia,20000,0.079607283,10088,10088,0.000467024,0.000000351,0.000336347,0.00000021
sophia,20000,0.081209161,10088,10088,0.000462446,0.000000339,0.000309559,0.0000002
sophia,20000,0.080162618,10088,10088,0.000469151,0.000000339,0.000307193,0.000000189
sophia,40000,0.160635656,18980,18980,0.000955708,0.000000395,0.000622863,0.000000191
sophia,40000,0.158516237,18980,18980,0.00097687,0.000000377,0.00062004,0.000000211
sophia,40000,0.158888399,18980,18980,0.000959487,0.000000328,0.000688377,0.000000213
sophia,40000,0.157387377,18980,18980,0.001138118,0.000000319,0.00062582,0.000000214
sophia,80000,0.313881819,36936,36936,0.001970789,0.000000356,0.00137634,0.000000627
sophia,80000,0.309567893,36936,36936,0.001938947,0.000000451,0.001376606,0.000000234
sophia,80000,0.307300855,36936,36936,0.001996779,0.000000522,0.001472345,0.000000197
sophia,80000,0.308910915,36936,36936,0.001951812,0.000000479,0.001359727,0.000000244
sophia,100000,0.40252195,47048,47048,0.002541942,0.000000429,0.002016458,0.000000294
sophia,100000,0.403743129,47048,47048,0.002496339,0.000000536,0.001865322,0.000000286
sophia,100000,0.402910171,47048,47048,0.002512166,0.000000454,0.001884225,0.000000368
sophia,100000,0.403067384,47048,47048,0.002565281,0.000000542,0.001904439,0.000000284
sophia,1000000,3.966502253,372872,372872,0.046280093,0.0000007,0.048216717,0.000000504
sophia,1000000,3.897023246,372872,372872,0.045743711,0.000000715,0.045629488,0.000000521
sophia,1000000,3.87947728,372872,372872,0.045568963,0.000000659,0.046330619,0.000000538
sophia,1000000,3.880285323,372872,372872,0.045591826,0.000000718,0.045555509,0.000000464
