tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_full,10000,0.035067401,4372,4636,0.001841093,0.000000986,0.000015312,0.000000781
sophia_full,10000,0.037305389,4372,4636,0.002330052,0.000000979,0.000015119,0.000000855
sophia_full,10000,0.037754754,4372,4636,0.001962678,0.000001037,0.00001548,0.000000824
sophia_full,10000,0.036056903,4372,4636,0.001921667,0.000001011,0.00001485,0.000000809
sophia_full,20000,0.071735278,7528,8432,0.004212718,0.000000854,0.000015646,0.000000729
sophia_full,20000,0.073543297,7528,8432,0.004167779,0.000001172,0.000014857,0.000000744
sophia_full,20000,0.073210929,7528,8432,0.004187895,0.000001012,0.000015747,0.000000763
sophia_full,20000,0.073078849,7528,8432,0.004153438,0.000001027,0.000014962,0.000000823
sophia_full,40000,0.145244835,14360,16180,0.009753735,0.000001301,0.000017072,0.000000778
sophia_full,40000,0.143469457,14360,16180,0.009759756,0.000000958,0.000015258,0.0000007
sophia_full,40000,0.144800783,14360,16180,0.009714699,0.000001123,0.000015226,0.000000807
sophia_full,40000,0.143591738,14360,16180,0.009742276,0.00000106,0.000015522,0.000000787
sophia_full,80000,0.282890096,27992,31444,0.022910975,0.000001093,0.000015807,0.00000084
sophia_full,80000,0.281115328,27992,31444,0.022823808,0.000001024,0.000016053,0.000000757
sophia_full,80000,0.278364765,27992,31444,0.02456336,0.000001341,0.000016422,0.000000814
sophia_full,80000,0.276546677,27992,31444,0.022853881,0.000001061,0.000013906,0.000000845
sophia_full,100000,0.365325395,37652,40276,0.027191416,0.000001123,0.000014492,0.000000652
sophia_full,100000,0.363883353,37652,40276,0.027259222,0.000001152,0.000015958,0.000000753
sophia_full,100000,0.363664099,37652,40276,0.027154736,0.000001115,0.000015796,0.000000627
sophia_full,100000,0.363613852,37652,40276,0.026780849,0.000001007,0.000014263,0.000000691
sophia_full,1000000,3.52402803,314732,359908,0.480737498,0.000001137,0.000015937,0.000000654
sophia_full,1000000,3.458962418,314732,359900,0.488478218,0.000001143,0.000014842,0.000000617
sophia_full,1000000,3.468414938,314732,359904,0.470257394,0.000001118,0.000014487,0.000000597
sophia_full,1000000,3.48899202,314732,359904,0.480001223,0.000001132,0.000016317,0.000000723
