tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_lg,10000,0.029730403,3448,3448,0.000181511,0.000000285,0.000125065,0.000000192
sophia_lg,10000,0.029659432,3448,3448,0.000170693,0.000000254,0.000125035,0.000000164
sophia_lg,10000,0.030083447,3448,3448,0.000177743,0.000000279,0.000128879,0.000000173
sophia_lg,10000,0.030454534,3448,3448,0.000189507,0.000000283,0.00013305,0.000000189
sophia_lg,20000,0.05910295,5288,5288,0.000397364,0.000000295,0.000266369,0.000000193
sophia_lg,20000,0.060903921,5288,5288,0.000428172,0.000000439,0.000287969,0.000000194
sophia_lg,20000,0.062368938,5288,5288,0.000428934,0.000000316,0.000286061,0.000000179
sophia_lg,20000,0.063666547,5288,5288,0.0004393,0.000000332,0.000296641,0.000000186
sophia_lg,40000,0.125780226,9628,9628,0.000904458,0.000000369,0.000683351,0.000000208
sophia_lg,40000,0.129098293,9628,9628,0.000926018,0.000000377,0.000611809,0.000000217
sophia_lg,40000,0.130130742,9628,9628,0.00092169,0.000000325,0.000622458,0.00000021
sophia_lg,40000,0.131126286,9628,9628,0.00092576,0.000000299,0.000666688,0.000000225
sophia_lg,80000,0.259209541,18212,18212,0.002006452,0.000000447,0.001380309,0.00000021
sophia_lg,80000,0.261003796,18212,18212,0.001979113,0.000000509,0.001442781,0.000000251
sophia_lg,80000,0.258807636,18212,18212,0.001949969,0.000000322,0.001356249,0.000000271
sophia_lg,80000,0.257471077,18212,18212,0.001981581,0.000000441,0.00149908,0.000000224
sophia_lg,100000,0.336609149,26436,26436,0.002731497,0.000000516,0.00198581,0.000000696
sophia_lg,100000,0.332759124,26436,26436,0.002541874,0.00000057,0.001910205,0.000000209
sophia_lg,100000,0.335385366,26436,26436,0.002513529,0.00000036,0.001953252,0.000000377
sophia_lg,100000,0.335779394,26436,26436,0.002757391,0.00000056,0.001917485,0.00000031
sophia_lg,1000000,3.223240346,153108,153244,0.045587877,0.00000109,0.045186591,0.000000375
sophia_lg,1000000,3.219363042,153108,153244,0.045207493,0.000000737,0.045040474,0.000000766
sophia_lg,1000000,3.197530743,153108,153244,0.045789422,0.000000571,0.045424116,0.000000469
sophia_lg,1000000,3.202656294,153108,153244,0.044997749,0.000000623,0.044944819,0.000000508
