tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia,10000,0.039331144,5660,5660,0.0000016,0.000014359,0.000000483,0.000002764
sophia,10000,0.039834158,5660,5660,0.00000227,0.000021003,0.000000443,0.000003284
sophia,10000,0.039487996,5660,5660,0.000001966,0.000051904,0.000000482,0.000002926
sophia,10000,0.038949142,5660,5660,0.000002248,0.000016057,0.000000455,0.000002858
sophia,20000,0.075290932,10088,10088,0.000002078,0.000029536,0.000000571,0.000008896
sophia,20000,0.075402191,10088,10088,0.000002458,0.000042818,0.000000644,0.000011247
sophia,20000,0.074839565,10088,10088,0.000002672,0.00006819,0.000000577,0.000007872
sophia,20000,0.076311928,10088,10088,0.000003134,0.000041116,0.000000562,0.000038003
sophia,40000,0.150095661,18980,18980,0.000002136,0.000059591,0.000000991,0.000027951
sophia,40000,0.148729419,18980,18980,0.000002435,0.00009926,0.000001044,0.000057834
sophia,40000,0.164766309,18980,18980,0.00000215,0.00006159,0.000001113,0.000030875
sophia,40000,0.186681171,18980,18980,0.000002064,0.000061739,0.000001305,0.00003169
sophia,80000,0.375978891,36936,36936,0.000002538,0.000127478,0.000001755,0.000097706
sophia,80000,0.379748977,36936,36936,0.000002822,0.000230813,0.00000176,0.000139324
sophia,80000,0.374704794,36936,36936,0.000002511,0.000122246,0.000001397,0.000085511
sophia,80000,0.372533172,36936,36936,0.000003628,0.000150441,0.000001442,0.000122182
sophia,100000,0.495295002,47044,47044,0.000001933,0.000152601,0.000001562,0.000122618
sophia,100000,0.488057534,47044,47044,0.000002418,0.000151662,0.000001893,0.000115324
sophia,100000,0.498158688,47044,47044,0.000002376,0.000151453,0.000002923,0.000113202
sophia,100000,0.494871317,47044,47044,0.000002446,0.000189265,0.000002286,0.000146071
sophia,1000000,4.997992466,372872,372872,0.000002093,0.00139256,0.000002365,0.001525844
sophia,1000000,4.929900372,372872,372872,0.000003335,0.001904224,0.000003153,0.001544098
sophia,1000000,4.9361700939999995,372872,372872,0.000002448,0.001426017,0.000002784,0.001360941
sophia,1000000,4.901450388,372872,372872,0.000004542,0.002059868,0.000004069,0.001923935
sophia,10310000,55.302653645,3051360,3051360,0.000002508,0.015735985,0.000004681,0.015606088
sophia,10310000,53.620923611,3051360,3051360,0.000002925,0.015970084,0.000004317,0.015753998
sophia,10310000,53.933533767,3051360,3051360,0.000002172,0.015671941,0.000004567,0.015553519
sophia,10310000,53.731650184,3051360,3051360,0.000002116,0.015828032,0.000004391,0.015954218
