tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_full,10000,0.048258164,4372,5376,0.003519007,0.000300899,0.000003849,0.000142488
sophia_full,10000,0.055844542,4372,5376,0.003014505,0.000238305,0.000001559,0.00012034
sophia_full,10000,0.053537789,4372,5376,0.003288254,0.000248191,0.000001443,0.000125518
sophia_full,10000,0.055151574,4372,5376,0.003469967,0.000264589,0.00000226,0.000122441
sophia_full,20000,0.100723728,7528,9984,0.006789773,0.000676442,0.00000378,0.000463785
sophia_full,20000,0.096226102,7528,9984,0.005820607,0.000530252,0.000002406,0.000286299
sophia_full,20000,0.100517323,7528,9984,0.006422503,0.000531286,0.000002141,0.00030227
sophia_full,20000,0.09581976,7528,9984,0.006866638,0.000717369,0.00000468,0.000698886
sophia_full,40000,0.183210922,14360,19156,0.014046078,0.001204652,0.000002821,0.000717222
sophia_full,40000,0.184279592,14360,19156,0.012907494,0.00142551,0.000003568,0.001329357
sophia_full,40000,0.185152306,14360,19156,0.01384697,0.001157869,0.000003348,0.000749725
sophia_full,40000,0.181087336,14360,19156,0.012972171,0.001308162,0.000003338,0.001162128
sophia_full,80000,0.365076063,27992,37388,0.029758374,0.002468403,0.000003741,0.001879238
sophia_full,80000,0.34817263,27992,37388,0.029182346,0.002387407,0.000003754,0.002145928
sophia_full,80000,0.354097248,27992,37388,0.029754649,0.002900785,0.000003823,0.002242996
sophia_full,80000,0.355768085,27992,37388,0.031859808,0.00300901,0.000004578,0.002769696
sophia_full,100000,0.467242373,37652,45828,0.034427661,0.00322754,0.000010349,0.003559926
sophia_full,100000,0.452870818,37652,45828,0.03371724,0.003846367,0.000004691,0.003512805
sophia_full,100000,0.455520272,37652,45828,0.034806993,0.003263608,0.000003323,0.002563868
sophia_full,100000,0.460362488,37652,45828,0.03405844,0.003708623,0.000004393,0.00346894
sophia_full,1000000,4.471368023,314732,389536,0.456437701,0.04323267,0.000004696,0.042444074
sophia_full,1000000,4.399062087,314732,389536,0.443499235,0.04307722,0.000004284,0.041805733
sophia_full,1000000,4.465029227,314732,389536,0.450203026,0.043391514,0.000004626,0.042503721
sophia_full,1000000,4.424152591,314732,389536,0.449456131,0.042385387,0.000004815,0.043395599
sophia_full,10310000,46.412734804,2629488,3092068,7.066839056,0.636406402,0.000004996,0.635423423
sophia_full,10310000,46.178587619,2629488,3092096,7.141298302,0.639254109,0.000005136,0.642544162
sophia_full,10310000,46.567865051,2629488,3092072,7.140559453,0.649373921,0.000005174,0.650611667
sophia_full,10310000,46.029636496,2629488,3092036,7.069191925,0.643630922,0.000005621,0.64576951
