tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_lg,10000,0.033304883,3448,3448,0.00000327,0.000664749,0.00000125,0.000810854
sophia_lg,10000,0.032650673,3448,3448,0.000002771,0.000636102,0.000000542,0.000427122
sophia_lg,10000,0.03405884,3448,3448,0.000002538,0.000696459,0.000000584,0.000523078
sophia_lg,10000,0.033237109,3448,3448,0.000004019,0.000645719,0.000000793,0.00044906
sophia_lg,20000,0.068725891,5288,5288,0.000004198,0.001900603,0.000002147,0.001504685
sophia_lg,20000,0.096784117,5288,5288,0.000005093,0.001911946,0.000001376,0.001487489
sophia_lg,20000,0.095858557,5288,5288,0.000002394,0.001616409,0.000000567,0.001255861
sophia_lg,20000,0.089238866,5288,5288,0.000002205,0.001676245,0.000000646,0.001248153
sophia_lg,40000,0.16460875,9628,9628,0.000005516,0.003160074,0.000001281,0.002695992
sophia_lg,40000,0.166530331,9628,9628,0.000005735,0.003447938,0.000001136,0.0024259
sophia_lg,40000,0.164204725,9628,9628,0.000004453,0.003292622,0.000001553,0.003795198
sophia_lg,40000,0.161450181,9628,9628,0.000005465,0.003954789,0.000001329,0.002509984
sophia_lg,80000,0.31557015,18212,18212,0.000004151,0.00929572,0.000001389,0.00646169
sophia_lg,80000,0.314576067,18212,18212,0.000003615,0.009035074,0.000000958,0.005424366
sophia_lg,80000,0.324279685,18212,18212,0.000006573,0.008165264,0.000003208,0.007676203
sophia_lg,80000,0.314162041,18212,18212,0.000003526,0.009501446,0.000001782,0.005801888
sophia_lg,100000,0.411553067,26436,26436,0.000003574,0.011748662,0.000001227,0.007316454
sophia_lg,100000,0.409862334,26436,26436,0.000004548,0.010235921,0.000001207,0.009118041
sophia_lg,100000,0.416641801,26436,26436,0.000002428,0.011273781,0.000001431,0.008065071
sophia_lg,100000,0.422791967,26436,26436,0.000003092,0.011603106,0.000001046,0.011230573
sophia_lg,1000000,4.028483415,153108,153244,0.000003696,0.149089355,0.000001512,0.143640804
sophia_lg,1000000,4.026783239,153108,153244,0.000003483,0.149568428,0.000001151,0.146441457
sophia_lg,1000000,4.018497374,153108,153244,0.000003237,0.147508215,0.000002071,0.146141953
sophia_lg,1000000,4.049379543,153108,153244,0.000005046,0.148575781,0.00000251,0.144958414
sophia_lg,10310000,42.345190359,1228796,1228796,0.000003983,1.82254286,0.00000217,1.8251746739999999
sophia_lg,10310000,42.226963536,1228796,1228796,0.000003133,1.823872009,0.000002052,1.838478743
sophia_lg,10310000,43.114792665,1228796,1228796,0.000003101,1.88200401,0.000001304,1.880123832
sophia_lg,10310000,43.556252582,1228796,1228796,0.000004885,1.8567740719999999,0.000002877,1.867791962
