tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_tree,10000,0.034926481,2772,2924,0.000002228,0.00011955,0.000000953,0.000071229
sophia_tree,10000,0.033008027,2772,2924,0.000003361,0.000194933,0.000001406,0.000123682
sophia_tree,10000,0.034037764,2772,2924,0.000002878,0.000121354,0.000000794,0.000073447
sophia_tree,10000,0.036993511,2772,2924,0.000004139,0.000158846,0.00000185,0.000083298
sophia_tree,20000,0.068513597,4916,5052,0.000003792,0.000363063,0.000001875,0.000275186
sophia_tree,20000,0.079673541,4916,5052,0.00000372,0.000380924,0.000002264,0.000298329
sophia_tree,20000,0.089053057,4916,5052,0.00000353,0.000292319,0.000001869,0.000221971
sophia_tree,20000,0.091039114,4916,5052,0.000003402,0.000319631,0.000001367,0.000224547
sophia_tree,40000,0.173279068,9120,9260,0.000003829,0.000763675,0.000002725,0.000706604
sophia_tree,40000,0.166898498,9120,9260,0.000003584,0.000632212,0.000001365,0.000504134
sophia_tree,40000,0.173202209,9120,9260,0.000003503,0.00069339,0.000001529,0.000546999
sophia_tree,40000,0.168496189,9120,9260,0.000003356,0.000602271,0.000001531,0.000531207
sophia_tree,80000,0.338600894,17468,17468,0.00000346,0.001359264,0.000001812,0.001238384
sophia_tree,80000,0.337823342,17468,17468,0.000003101,0.001349178,0.000001997,0.001190904
sophia_tree,80000,0.345866428,17468,17468,0.000004022,0.001552783,0.000003764,0.001440773
sophia_tree,80000,0.3316374,17468,17468,0.00000334,0.001330492,0.000001912,0.00120686
sophia_tree,100000,0.443652283,26904,26904,0.000003118,0.00163323,0.000003318,0.001890332
sophia_tree,100000,0.437659608,26904,26904,0.000003715,0.001917134,0.000005222,0.001859634
sophia_tree,100000,0.436307722,26904,26904,0.000004403,0.001901193,0.000004441,0.001801089
sophia_tree,100000,0.440362764,26904,26904,0.000004262,0.001878793,0.000002767,0.001719631
sophia_tree,1000000,4.203933063,151072,151072,0.000004453,0.017052462,0.000004899,0.016877666
sophia_tree,1000000,4.221375344,151072,151072,0.000004084,0.01661741,0.000005434,0.016559459
sophia_tree,1000000,4.262176628,151072,151072,0.000003601,0.017064307,0.000004917,0.01690568
sophia_tree,1000000,4.211290545,151072,151072,0.000004455,0.017071708,0.000006017,0.017136889
sophia_tree,10310000,46.500764573,1299388,1299524,0.000007142,0.167218613,0.000007976,0.165635677
sophia_tree,10310000,45.787035354,1299388,1299524,0.000009281,0.163200211,0.000006956,0.163043183
sophia_tree,10310000,45.538686253,1299388,1299524,0.000005705,0.160049627,0.00000696,0.161662024
sophia_tree,10310000,46.049391128,1299388,1299524,0.000004964,0.165204911,0.000007075,0.165865111
