tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_lg,10000,0.035569016,3448,3448,0.000003106,0.000727887,0.000000921,0.000463386
sophia_lg,10000,0.033451833,3448,3448,0.00000328,0.000613761,0.000000808,0.000429051
sophia_lg,10000,0.035410228,3448,3448,0.000002198,0.000640178,0.000000451,0.000409727
sophia_lg,10000,0.035047016,3448,3448,0.000003371,0.000691725,0.000000725,0.000462572
sophia_lg,20000,0.064897823,5288,5288,0.000002568,0.001249897,0.000000573,0.00090441
sophia_lg,20000,0.07923034,5288,5288,0.000002463,0.001466205,0.000000559,0.001334985
sophia_lg,20000,0.088371194,5288,5288,0.000003045,0.001572108,0.000000626,0.001189103
sophia_lg,20000,0.091654837,5288,5288,0.000003297,0.001579947,0.000000852,0.001190003
sophia_lg,40000,0.196231348,9628,9628,0.000003917,0.003597924,0.000000858,0.004913974
sophia_lg,40000,0.187659722,9628,9628,0.000002191,0.003850441,0.000001014,0.003516182
sophia_lg,40000,0.166510785,9628,9628,0.000005302,0.004255184,0.000001642,0.004115591
sophia_lg,40000,0.193531539,9628,9628,0.000003724,0.004215149,0.00000178,0.002956952
sophia_lg,80000,0.425300464,18212,18212,0.000004186,0.011562421,0.000003068,0.010278548
sophia_lg,80000,0.396733432,18212,18212,0.000006384,0.008710179,0.000002158,0.005252371
sophia_lg,80000,0.326117786,18212,18212,0.000004384,0.008762598,0.000001866,0.005624943
sophia_lg,80000,0.330013584,18212,18212,0.00000238,0.009235245,0.000001136,0.005336443
sophia_lg,100000,0.425583511,26436,26436,0.000003633,0.010900576,0.000001262,0.007312066
sophia_lg,100000,0.431464838,26436,26436,0.000005519,0.008817589,0.000001412,0.008476105
sophia_lg,100000,0.427229372,26436,26436,0.000005899,0.008577584,0.000001161,0.009953573
sophia_lg,100000,0.42580972,26436,26436,0.000003908,0.00796244,0.000000927,0.010189771
sophia_lg,1000000,4.049873777,153108,153244,0.0000029,0.143275582,0.00000117,0.141640694
sophia_lg,1000000,4.032026427,153108,153244,0.000002863,0.143935394,0.000001496,0.142186897
sophia_lg,1000000,4.061846134,153108,153244,0.000003047,0.146764122,0.000001621,0.141195343
sophia_lg,1000000,4.070890244,153108,153244,0.000004149,0.142373889,0.000001898,0.144008254
sophia_lg,10310000,42.693682269,1228796,1228796,0.000003902,1.839358665,0.000002064,1.842786835
sophia_lg,10310000,42.389954655,1228796,1228796,0.000002424,1.846250438,0.000001632,1.849758043
sophia_lg,10310000,42.634523028,1228796,1228796,0.000002503,1.851470823,0.000001555,1.8571118389999999
sophia_lg,10310000,42.510839194,1228796,1228796,0.000002934,1.850875307,0.000001238,1.857595786
