tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_tree,10000,0.034091806,2792,3188,0.001426168,0.000135034,0.000002387,0.000074112
sophia_tree,10000,0.033692618,2792,3188,0.001310387,0.000097765,0.000000924,0.000063999
sophia_tree,10000,0.034165246,2792,3188,0.001372396,0.000140876,0.000001927,0.000069577
sophia_tree,10000,0.034534097,2792,3188,0.001356277,0.000155813,0.000002399,0.000088009
sophia_tree,20000,0.064587473,4916,5712,0.002713149,0.000219031,0.000001433,0.000161537
sophia_tree,20000,0.07009615,4916,5712,0.003351653,0.000266385,0.000002259,0.000186969
sophia_tree,20000,0.08134705,4916,5712,0.003615928,0.000299494,0.000003493,0.000240773
sophia_tree,20000,0.085952237,4916,5712,0.003709148,0.000308853,0.000002276,0.000214469
sophia_tree,40000,0.191942964,9116,10576,0.009053831,0.001048616,0.000006533,0.000947303
sophia_tree,40000,0.192006551,9116,10576,0.008255829,0.000688865,0.000003428,0.000548174
sophia_tree,40000,0.165393453,9116,10576,0.007663197,0.0006845,0.000003064,0.00057405
sophia_tree,40000,0.180297052,9116,10576,0.009051123,0.00085911,0.000004779,0.000803153
sophia_tree,80000,0.371925993,17468,20372,0.018271639,0.001695734,0.0000049,0.001630504
sophia_tree,80000,0.372654029,17468,20372,0.016526535,0.001581644,0.000004764,0.001420585
sophia_tree,80000,0.330847811,17468,20372,0.016201048,0.00142973,0.00000501,0.001710466
sophia_tree,80000,0.332222819,17468,20372,0.016025109,0.001411194,0.000004164,0.001312859
sophia_tree,100000,0.43535415,26904,29016,0.019705658,0.001755398,0.000004242,0.001676032
sophia_tree,100000,0.431724155,26904,29016,0.019710339,0.001733576,0.000005039,0.001656365
sophia_tree,100000,0.439943517,26904,29016,0.020688285,0.001992689,0.000004753,0.001804741
sophia_tree,100000,0.436032218,26904,29016,0.019716987,0.001781759,0.000004191,0.001684671
sophia_tree,1000000,4.218306562,151072,187108,0.222222431,0.016946743,0.000007809,0.017005892
sophia_tree,1000000,4.248436883,151072,187108,0.224449584,0.017599306,0.000006836,0.017697283
sophia_tree,1000000,4.213008928,151072,187108,0.229152262,0.017611126,0.000005485,0.017485364
sophia_tree,1000000,4.250826119,151072,187108,0.229577287,0.018043429,0.000006451,0.018305609
sophia_tree,10310000,46.266655467,1299388,1671500,2.571728912,0.171340291,0.000007275,0.171021482
sophia_tree,10310000,46.430985796,1299388,1671500,2.537129439,0.169446708,0.000008374,0.168510623
sophia_tree,10310000,46.62228675,1299388,1671500,2.560703686,0.167904235,0.00000734,0.171693828
sophia_tree,10310000,45.835715747,1299388,1671500,2.527194246,0.166730466,0.000007132,0.166721667
