tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia,10000,0.053367185,5544,5544,0.00007648,0.000489805,0.000018311,0.000348141
sophia,10000,0.055004606,5544,5544,0.0000241,0.000625217,0.000007783,0.000412896
sophia,10000,0.056450329,5544,5544,0.000104797,0.000371858,0.000040052,0.000312632
sophia,10000,0.05566105,5544,5544,0.000086509,0.000408817,0.000029845,0.000319035
sophia,20000,0.105435558,10088,10088,0.000091978,0.001036687,0.000032529,0.000747701
sophia,20000,0.10046024,10088,10088,0.000255807,0.000742448,0.000099904,0.000596498
sophia,20000,0.105741228,10088,10088,0.000054811,0.001001571,0.000017265,0.000744892
sophia,20000,0.145210161,10088,10088,0.000134707,0.001179683,0.000045692,0.000891228
sophia,40000,0.215197757,18980,18980,0.000137699,0.002022041,0.000049432,0.002130827
sophia,40000,0.199748189,18980,18980,0.000773625,0.001814044,0.000641166,0.00217398
sophia,40000,0.193509825,18980,18980,0.000470583,0.001601248,0.000190282,0.0012524
sophia,40000,0.198077634,18980,18980,0.000031725,0.002064562,0.000008674,0.001406623
sophia,80000,0.385450858,36936,36936,0.001438509,0.005685808,0.001155392,0.002941228
sophia,80000,0.381457839,36936,36936,0.001943676,0.002389865,0.000997681,0.003460813
sophia,80000,0.380035946,36936,36936,0.000433158,0.005966851,0.000152775,0.003118678
sophia,80000,0.387569606,36936,36936,0.001293425,0.006054266,0.000714224,0.002970348
sophia,100000,0.495278906,47048,47048,0.00161354,0.004117154,0.000744932,0.006237973
sophia,100000,0.495850807,47048,47048,0.000934085,0.007522929,0.000780669,0.005110607
sophia,100000,0.494438191,47048,47048,0.001199224,0.006357793,0.00046396,0.003867706
sophia,100000,0.497043571,47048,47048,0.000053923,0.005701721,0.000016323,0.006686063
sophia,1000000,4.977979618,372872,372872,0.012133408,0.124894211,0.012194245,0.124982427
sophia,1000000,4.924285655,372872,372872,0.042136194,0.092981659,0.042352408,0.094133209
sophia,1000000,4.952094492,372872,372872,0.021205444,0.116638523,0.02106244,0.117689934
sophia,1000000,4.965912132,372872,372872,0.018967912,0.116056867,0.018790258,0.116548461
sophia,10310000,53.654816102,3051360,3051360,0.119662569,1.582072738,0.120050708,1.5932848370000001
sophia,10310000,53.375649876,3051360,3051360,0.013290041,1.7096435300000001,0.011864882,1.7157126950000001
sophia,10310000,53.481871972,3051360,3051360,0.060821154,1.6561099270000001,0.061213422,1.660562624
sophia,10310000,53.519698223,3051360,3051360,0.144824153,1.577288665,0.142956994,1.580587961
