tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_full,10000,0.036952234,4372,4504,0.00212842,0.000001679,0.000001115,0.000000519
sophia_full,10000,0.035319571,4372,4504,0.001732803,0.000001499,0.000000668,0.000000531
sophia_full,10000,0.034387188,4372,4504,0.002108777,0.000001964,0.000000975,0.000000541
sophia_full,10000,0.035023884,4372,4504,0.001767149,0.000002168,0.000000588,0.000000548
sophia_full,20000,0.065491904,7528,8432,0.004647119,0.000002734,0.000002232,0.000000558
sophia_full,20000,0.073394812,7528,8432,0.005265009,0.000002514,0.000001589,0.000000738
sophia_full,20000,0.085998859,7528,8432,0.004737438,0.000002488,0.000000878,0.000000709
sophia_full,20000,0.090296721,7528,8432,0.004803876,0.000002675,0.000000938,0.000000729
sophia_full,40000,0.190116962,14360,16048,0.013314904,0.000003237,0.000001857,0.000000776
sophia_full,40000,0.174991843,14360,16048,0.012073578,0.000002736,0.000001689,0.000000768
sophia_full,40000,0.167443286,14360,16048,0.012297754,0.000002813,0.000001922,0.00000076
sophia_full,40000,0.176724895,14360,16048,0.012905635,0.00000292,0.000001604,0.000000796
sophia_full,80000,0.336493103,27992,31312,0.027863849,0.000003315,0.000001626,0.00000072
sophia_full,80000,0.339686289,27992,31312,0.027066455,0.000002749,0.000001641,0.0000007
sophia_full,80000,0.337077901,27992,31312,0.027322468,0.000003016,0.000001865,0.000000923
sophia_full,80000,0.333835965,27992,31312,0.028187761,0.00000263,0.000001819,0.000000712
sophia_full,100000,0.443083387,37652,40144,0.03383151,0.000002837,0.000002452,0.000000763
sophia_full,100000,0.444270513,37652,40144,0.034166077,0.000002777,0.000001726,0.00000071
sophia_full,100000,0.446815896,37652,40144,0.035000243,0.00000259,0.000002424,0.000000711
sophia_full,100000,0.44679062,37652,40144,0.035764225,0.000003065,0.000001566,0.000000726
sophia_full,1000000,4.405749038,314732,359908,0.572141332,0.000003267,0.000002277,0.000000814
sophia_full,1000000,4.3722101030000005,314732,359888,0.571403689,0.000003689,0.000002358,0.000000762
sophia_full,1000000,4.384720741,314732,359928,0.568415649,0.000003495,0.000002028,0.000000665
sophia_full,1000000,4.34337588,314732,359804,0.570129086,0.000004059,0.000003337,0.000000688
sophia_full,10310000,46.908874526,2629488,3057496,8.731374919,0.00000413,0.000002484,0.000000839
sophia_full,10310000,46.128476701,2629488,3057496,8.775684308,0.000015267,0.000002594,0.000000725
sophia_full,10310000,46.314772466,2629488,3057496,8.783524981,0.000003597,0.000002148,0.000000792
sophia_full,10310000,47.061360334,2629488,3057496,8.717441315,0.00000334,0.000002469,0.00000075
