tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia,10000,0.037320094,5544,6236,0.001858968,0.000011642,0.001355803,0.000011606
sophia,10000,0.036249208,5544,6236,0.00173212,0.000012402,0.001682176,0.000013583
sophia,10000,0.036471478,5544,6236,0.001794838,0.000011821,0.001391698,0.000015199
sophia,10000,0.036363017,5544,6236,0.00164115,0.000011835,0.001341225,0.000011604
sophia,20000,0.069710102,10088,10388,0.003279919,0.000024446,0.003057063,0.000023065
sophia,20000,0.070414396,10088,10356,0.003376509,0.000025083,0.003092447,0.000024638
sophia,20000,0.069105406,10088,10380,0.003215851,0.00002339,0.00319379,0.000023049
sophia,20000,0.069881005,10088,10340,0.003279049,0.000023377,0.00311109,0.000023046
sophia,40000,0.134183018,18980,19772,0.007533037,0.000069208,0.006562244,0.000063361
sophia,40000,0.133806037,18980,22524,0.006802936,0.000050005,0.00638031,0.00006754
sophia,40000,0.13778746,18980,19740,0.00664108,0.0000587,0.006445135,0.000052894
sophia,40000,0.134737519,18980,22308,0.00679403,0.000125898,0.006404243,0.000057508
sophia,80000,0.299265735,36936,43828,0.015605329,0.000197465,0.013682623,0.000182711
sophia,80000,0.311166619,36936,43432,0.015615885,0.000195727,0.015702117,0.00020415
sophia,80000,0.31234363,36936,43404,0.01526384,0.000198679,0.015246048,0.000196748
sophia,80000,0.313699718,36936,38308,0.015416915,0.000194564,0.014906812,0.000207459
sophia,100000,0.414475038,47048,52592,0.018616133,0.000260711,0.016955523,0.000249324
sophia,100000,0.408981168,47048,52592,0.017437584,0.000268876,0.016784569,0.0002551
sophia,100000,0.41065171,47048,52864,0.017514538,0.000258346,0.016449659,0.000259345
sophia,100000,0.413610914,47048,52592,0.017639452,0.000260601,0.016546882,0.000254044
sophia,1000000,4.1807781330000005,372872,391632,0.278346293,0.003559977,0.270129814,0.003598899
sophia,1000000,4.187485192,372872,414784,0.284074358,0.003725812,0.271473711,0.003576214
sophia,1000000,4.17891534,372872,414784,0.279121239,0.003685949,0.267991019,0.003656571
sophia,1000000,4.224173144,372872,410916,0.278122623,0.003568179,0.266286518,0.003583696
