tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_A,10000,0.052277568,5596,6508,0.000478047,0.000003637,0.000187417,0.000007334
sophia_A,10000,0.051855403,5596,6508,0.000512968,0.000003779,0.000203978,0.00000732
sophia_A,10000,0.049982339,5596,6508,0.000531719,0.000003814,0.000224354,0.000007374
sophia_A,10000,0.050478938,5596,6508,0.000508852,0.000003631,0.00023317,0.000007253
sophia_A,20000,0.093992028,10100,12220,0.001044791,0.000005622,0.000421537,0.00000998
sophia_A,20000,0.08976901,10100,12220,0.0009872,0.000005253,0.000388607,0.000010003
sophia_A,20000,0.08804005,10100,12220,0.000981354,0.00000534,0.000404748,0.00000977
sophia_A,20000,0.091004203,10100,12220,0.000996027,0.000005315,0.00040162,0.00000939
sophia_A,40000,0.170471878,18984,23516,0.002062367,0.000008782,0.000912933,0.00001744
sophia_A,40000,0.167398852,18984,23516,0.002066313,0.000009222,0.000947049,0.00001748
sophia_A,40000,0.166743674,18984,23516,0.002050601,0.000008953,0.000939739,0.000018024
sophia_A,40000,0.169592869,18984,23516,0.002075133,0.000009236,0.000923871,0.000018015
sophia_A,80000,0.384774132,36940,45812,0.005171489,0.000023377,0.002354697,0.000045323
sophia_A,80000,0.42561201,36940,45812,0.004153099,0.000017605,0.001931932,0.000040385
sophia_A,80000,0.333315457,36940,45812,0.004091809,0.000017217,0.001862994,0.00003351
sophia_A,80000,0.327311646,36940,45812,0.004230323,0.000017366,0.001967715,0.000035193
sophia_A,100000,0.424838798,47048,54416,0.004133742,0.000021623,0.002566485,0.000022138
sophia_A,100000,0.427249121,47048,54416,0.004147609,0.000022061,0.002548004,0.000021711
sophia_A,100000,0.423849602,47048,54416,0.004191109,0.000022168,0.002597707,0.000021447
sophia_A,100000,0.41772752,47048,54416,0.004160103,0.000022032,0.002545427,0.000022069
sophia_A,1000000,4.214671997,372880,420064,0.043695063,0.00022426,0.045623291,0.000222633
sophia_A,1000000,4.340827675,372880,420064,0.043192979,0.000222631,0.045490445,0.000224403
sophia_A,1000000,4.242559354,372880,420064,0.043387039,0.000215168,0.045861709,0.000220949
sophia_A,1000000,4.183479797,372880,420064,0.043656174,0.000213783,0.046175569,0.000220454
