tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_array,10000,0.036541055,7432,7644,0.001359522,0.000005141,0.000992085,0.000009767
sophia_array,10000,0.039043007,7432,7644,0.001253166,0.000004346,0.000885846,0.000007335
sophia_array,10000,0.035149679,7432,7644,0.001256268,0.000004205,0.000868951,0.000007222
sophia_array,10000,0.033647844,7432,7644,0.001247661,0.000003635,0.000850848,0.000006575
sophia_array,20000,0.062269344,14168,16664,0.001975731,0.000007572,0.001909809,0.000006658
sophia_array,20000,0.05897586,14168,16664,0.002034607,0.000007797,0.001998146,0.000006258
sophia_array,20000,0.058166842,14168,16664,0.001972114,0.000007091,0.001904965,0.000005773
sophia_array,20000,0.058081168,14168,16664,0.001995959,0.000007516,0.001960921,0.000006453
sophia_array,40000,0.108329867,27724,32604,0.003685288,0.000020908,0.003625723,0.000010347
sophia_array,40000,0.105271316,27724,32604,0.003597444,0.000020338,0.003591702,0.000010543
sophia_array,40000,0.105754272,27724,32604,0.003613297,0.000020457,0.003616234,0.000009692
sophia_array,40000,0.105226379,27724,32604,0.003633516,0.000020048,0.003638291,0.000010204
sophia_array,80000,0.198093342,54736,64500,0.00709789,0.000038532,0.007248003,0.000017497
sophia_array,80000,0.198063272,54736,64500,0.007129843,0.000044623,0.007178393,0.000017752
sophia_array,80000,0.196393212,54736,64500,0.007149648,0.000045681,0.007230033,0.000017721
sophia_array,80000,0.1957239,54736,64500,0.007094901,0.00004054,0.007304175,0.000017887
sophia_array,100000,0.238905419,59108,69072,0.008720898,0.000046114,0.007999966,0.000047431
sophia_array,100000,0.241596063,59108,69072,0.008795353,0.000044958,0.007942289,0.000043038
sophia_array,100000,0.242452834,59108,69072,0.008800592,0.000050311,0.008005326,0.000045054
sophia_array,100000,0.24103906,59108,69072,0.00875695,0.000049793,0.008030103,0.000044082
sophia_array,1000000,2.443895314,510788,529304,0.087826723,0.000448973,0.083282096,0.000442384
sophia_array,1000000,2.230724843,510788,529304,0.087272238,0.000436589,0.083170124,0.000438618
sophia_array,1000000,2.400448221,510788,529304,0.087392478,0.000450184,0.084536508,0.000441389
sophia_array,1000000,2.239941272,510788,529304,0.087557505,0.000449941,0.08297938,0.000450031
