tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_full,10000,0.068388748,4372,5976,0.005671991,0.000168842,0.00228129,0.000167351
sophia_full,10000,0.058549332,4372,5976,0.00604382,0.000169425,0.002357298,0.000165339
sophia_full,10000,0.061428055,4372,5976,0.006673069,0.000200502,0.002549281,0.000181848
sophia_full,10000,0.060698498,4372,5976,0.005899546,0.000175539,0.00234716,0.000173192
sophia_full,20000,0.13679624,7528,10884,0.010938471,0.000281723,0.004115234,0.000281582
sophia_full,20000,0.086440351,7528,10884,0.009496909,0.000251237,0.00374499,0.000253941
sophia_full,20000,0.085777932,7528,11292,0.010667411,0.000264506,0.003787288,0.000288511
sophia_full,20000,0.084248063,7528,11156,0.008998063,0.000258678,0.00374885,0.000271492
sophia_full,40000,0.154487781,14360,21256,0.018899529,0.000492496,0.006915393,0.000489376
sophia_full,40000,0.149826125,14360,21504,0.018789143,0.000542025,0.006807448,0.00051016
sophia_full,40000,0.151086865,14360,21792,0.018970468,0.000526661,0.007065412,0.000510961
sophia_full,40000,0.151536811,14360,21252,0.020515613,0.000509964,0.007007267,0.000562894
sophia_full,80000,0.298779743,27992,41588,0.04080665,0.001531275,0.014294261,0.001580523
sophia_full,80000,0.290459617,27992,41588,0.040753977,0.001600877,0.014628253,0.001410926
sophia_full,80000,0.294913047,27992,40996,0.040543375,0.001420478,0.01461657,0.001452744
sophia_full,80000,0.29140667,27992,41588,0.040464612,0.001382575,0.014406973,0.001467391
sophia_full,100000,0.380749168,37652,50668,0.04677364,0.002051761,0.016450525,0.001997686
sophia_full,100000,0.384496836,37652,50604,0.047142697,0.001825036,0.017753673,0.001912769
sophia_full,100000,0.381169522,37652,50844,0.046859732,0.002066798,0.016451416,0.00198109
sophia_full,100000,0.380707241,37652,50604,0.047315026,0.001968551,0.01647315,0.001915736
sophia_full,1000000,3.773518825,314732,396892,0.640438706,0.051886957,0.27342459,0.05269183
sophia_full,1000000,3.864558809,314732,401960,0.638702598,0.05161089,0.26922257,0.051683794
sophia_full,1000000,3.722358422,314732,389640,0.636180198,0.052503363,0.267358139,0.052038024
sophia_full,1000000,3.770171334,314732,396424,0.636592733,0.051332036,0.269452343,0.05201545
