tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_full_A,10000,0.068234103,4372,6240,0.003720694,0.000003909,0.000338065,0.000003566
sophia_full_A,10000,0.050364981,4372,6240,0.003342175,0.000004297,0.00032529,0.00000398
sophia_full_A,10000,0.047161354,4372,6240,0.003228304,0.000003852,0.000322275,0.00000305
sophia_full_A,10000,0.046524049,4372,6240,0.003392201,0.000004055,0.000313134,0.000004439
sophia_full_A,20000,0.086331304,7528,11712,0.006102319,0.000005547,0.000680253,0.00000498
sophia_full_A,20000,0.08318869,7528,11712,0.006216998,0.000005546,0.000616477,0.000004997
sophia_full_A,20000,0.082422021,7528,11712,0.00604836,0.000005356,0.000600822,0.000004622
sophia_full_A,20000,0.091675349,7528,11712,0.010988225,0.000007345,0.000842572,0.000006775
sophia_full_A,40000,0.175257465,14360,22612,0.013473904,0.000009258,0.001516845,0.000009616
sophia_full_A,40000,0.153502465,14360,22612,0.013433164,0.000009152,0.001434443,0.000008949
sophia_full_A,40000,0.15442022,14360,22612,0.013410924,0.000009038,0.001493021,0.000008984
sophia_full_A,40000,0.223750733,14360,22612,0.022765676,0.000015161,0.00220275,0.000015368
sophia_full_A,80000,0.374956609,27992,44300,0.031176989,0.000017691,0.003331207,0.000016623
sophia_full_A,80000,0.296906575,27992,44300,0.030039729,0.000017461,0.003608738,0.000016276
sophia_full_A,80000,0.297700432,27992,44300,0.029578321,0.000017165,0.003375832,0.000016502
sophia_full_A,80000,0.293600585,27992,44300,0.029753713,0.000017717,0.003397006,0.000016165
sophia_full_A,100000,0.381979251,37652,52740,0.034389198,0.000041028,0.004039436,0.000027742
sophia_full_A,100000,0.380098163,37652,52740,0.034287875,0.000040447,0.004162499,0.000026686
sophia_full_A,100000,0.381156758,37652,52740,0.0347914,0.000043489,0.004132116,0.000024225
sophia_full_A,100000,0.379729265,37652,52740,0.034384655,0.000046334,0.004099329,0.000020091
sophia_full_A,1000000,3.797884817,314732,423368,0.425688978,0.000207345,0.070737203,0.000212527
sophia_full_A,1000000,3.738786408,314732,423368,0.427057911,0.000204902,0.069673889,0.000214191
sophia_full_A,1000000,3.9495901780000002,314732,419552,0.42740026,0.000212686,0.075080644,0.000218004
sophia_full_A,1000000,3.807706191,314732,423364,0.430122513,0.000207539,0.070486838,0.000213148
