tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_js_A_full,10000,0.2907426920002326,13312,13312,0.006971122999675572,0.0015516839995980262,0.003429223000071943,0.00200067700073123
sophia_js_A_full,10000,0.23732255799975246,5716,5716,0.005107408999465406,0.0011515950001776219,0.0017272880002856255,0.0009797539999708534
sophia_js_A_full,10000,0.22205984000023454,12800,12800,0.005214472999796271,0.0011750119999051093,0.0018936930000782012,0.0010256460001692176
sophia_js_A_full,10000,0.23025122800003736,13824,13824,0.005480771000497043,0.0011988459993153811,0.001968039999715984,0.0010529100000858306
sophia_js_A_full,20000,0.5047342419996858,13312,13312,0.01501562299951911,0.0031946100005879998,0.0055789270000532265,0.0037336250003427267
sophia_js_A_full,20000,0.37869908099994065,13312,13312,0.010495569999329745,0.0021690119998529554,0.003909177999943495,0.002184922999702394
sophia_js_A_full,20000,0.39521729599963873,13824,13824,0.010309384999796748,0.002122019000351429,0.0038896669996902346,0.002468225999735296
sophia_js_A_full,20000,0.39944741200003775,14548,14548,0.010229208000004292,0.0021600879998877644,0.0038994420003145933,0.002153070000000298
sophia_js_A_full,40000,0.6755360129997134,13312,13312,0.021121696999296547,0.004187852999195456,0.007752957999706269,0.003585185999982059
sophia_js_A_full,40000,0.6465793740004301,13312,13312,0.021285896999761463,0.004315390000119806,0.0076885370006784795,0.0035629980005323887
sophia_js_A_full,40000,0.6875078670000657,13716,13716,0.023653688999824226,0.004682626999914646,0.00835046000033617,0.003921316999942064
sophia_js_A_full,40000,0.678595397000201,14420,14420,0.02113297399971634,0.004172268999740481,0.007638196000829339,0.0034194900002330543
sophia_js_A_full,80000,1.1848799019996077,13824,13824,0.04258092899993062,0.007369869999587536,0.014252088000066578,0.004610849999822676
sophia_js_A_full,80000,1.3213174230000004,14156,14156,0.044095487999729815,0.007968561000190675,0.0172038449998945,0.005312284999527037
sophia_js_A_full,80000,1.1861028620004654,15124,15124,0.04392347999941558,0.007712760999798775,0.015012066000141204,0.0048431709995493295
sophia_js_A_full,80000,1.169954161000438,13504,13504,0.04318129300046712,0.00717119999974966,0.01510979099944234,0.004457772000692785
sophia_js_A_full,100000,1.4999420149996876,30804,30804,0.052525936000049116,0.008327777000144124,0.018542844999581577,0.006198145000264049
sophia_js_A_full,100000,1.5270144419996068,30208,30208,0.06944463000074029,0.011424724999815226,0.02483712900057435,0.010160150000825525
sophia_js_A_full,100000,1.4596897849999368,30544,30544,0.051900987000204624,0.0085915139997378,0.0189655219996348,0.008228386000730097
sophia_js_A_full,100000,1.5789700739998371,30460,30460,0.06740606800001114,0.01073713400028646,0.020954704999923707,0.006804422000423074
sophia_js_A_full,1000000,13.257904185000807,30228,30228,0.5999972440004349,0.06371383300051094,0.2275458650002256,0.05986038500070572
sophia_js_A_full,1000000,13.458321828999557,29696,29696,0.6005737229995429,0.05996099499985576,0.2058366010002792,0.05610839700046927
sophia_js_A_full,1000000,13.156340440999717,30208,30208,0.5844142190003767,0.05964843099936843,0.2121999450000003,0.056940464000217614
sophia_js_A_full,1000000,13.162376711999997,29696,29696,0.5874956729998813,0.05833291499968618,0.21074597600009293,0.054212403000332414
