tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_lg,10000,0.033650083,3448,3448,0.001604646,0.000012483,0.001467323,0.00001137
sophia_lg,10000,0.031682333,3448,3448,0.001610402,0.000012376,0.001644248,0.000013208
sophia_lg,10000,0.034536317,3448,3448,0.001867128,0.000018557,0.001859369,0.000014813
sophia_lg,10000,0.049418471,3448,3448,0.002404921,0.000017425,0.002375485,0.000017042
sophia_lg,20000,0.080578115,5288,6208,0.004468937,0.000030917,0.003881749,0.000031811
sophia_lg,20000,0.077575944,5288,6208,0.004379808,0.000030324,0.003817931,0.000030083
sophia_lg,20000,0.075780201,5288,6208,0.004363446,0.000033543,0.003876845,0.000030857
sophia_lg,20000,0.075544718,5288,6208,0.004539393,0.000031384,0.003806625,0.000030225
sophia_lg,40000,0.143395422,9628,11608,0.008706756,0.000079657,0.008079829,0.0000789
sophia_lg,40000,0.139709461,9628,11608,0.008792503,0.000079411,0.00764274,0.000086337
sophia_lg,40000,0.13983482,9628,11608,0.008787339,0.000081585,0.007814303,0.000078679
sophia_lg,40000,0.138448988,9628,11608,0.008531393,0.000073368,0.007837389,0.000080354
sophia_lg,80000,0.269578232,18212,22172,0.018047212,0.000213021,0.016700065,0.000215766
sophia_lg,80000,0.274458832,18212,22172,0.018181248,0.000207415,0.017088709,0.000226263
sophia_lg,80000,0.267816078,18212,22172,0.018144244,0.000225289,0.016816474,0.000204995
sophia_lg,80000,0.266462162,18212,22172,0.018505179,0.000221653,0.016981337,0.000208146
sophia_lg,100000,0.350711107,26436,29648,0.022795495,0.000278782,0.021806068,0.000272196
sophia_lg,100000,0.349604827,26436,29644,0.02185736,0.000267477,0.020695255,0.000272847
sophia_lg,100000,0.34793242,26436,29644,0.021380823,0.000272116,0.021158495,0.000282244
sophia_lg,100000,0.350003264,26436,29644,0.021406058,0.00028723,0.020793087,0.000286594
sophia_lg,1000000,3.455286835,153108,171940,0.312966571,0.00409438,0.306138947,0.00350599
sophia_lg,1000000,3.451020656,153108,171940,0.318253778,0.003519045,0.312645349,0.003522014
sophia_lg,1000000,3.423671206,153108,171940,0.325475793,0.003603675,0.309353215,0.003504553
sophia_lg,1000000,3.301197356,153108,171940,0.314071264,0.003548117,0.305205284,0.003560856
