tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_lg_A,10000,0.032946429,3448,4012,0.000760694,0.000002653,0.000538646,0.00000217
sophia_lg_A,10000,0.031468733,3448,4012,0.001416206,0.000003381,0.000809413,0.000002901
sophia_lg_A,10000,0.035854201,3448,4012,0.000888453,0.000003309,0.000688296,0.000002972
sophia_lg_A,10000,0.040444505,3448,4012,0.000969877,0.000003438,0.000746104,0.000003267
sophia_lg_A,20000,0.088347964,5288,7100,0.002173255,0.000006069,0.001591427,0.00001083
sophia_lg_A,20000,0.07924576,5288,7100,0.002074337,0.000005731,0.001561002,0.000010668
sophia_lg_A,20000,0.078346634,5288,7100,0.002120739,0.000006035,0.001498773,0.000010076
sophia_lg_A,20000,0.078553479,5288,7100,0.002144169,0.000005931,0.001539468,0.000009966
sophia_lg_A,40000,0.143770786,9628,13344,0.004237898,0.00001068,0.003802183,0.00000991
sophia_lg_A,40000,0.141395939,9628,14428,0.004236676,0.000010286,0.003580439,0.000010066
sophia_lg_A,40000,0.139910222,9628,14472,0.004233082,0.00001064,0.003607968,0.000009057
sophia_lg_A,40000,0.172005781,9628,13344,0.00505822,0.000012294,0.004594289,0.000012778
sophia_lg_A,80000,0.280994129,18212,25784,0.008875988,0.000018026,0.008070459,0.000017549
sophia_lg_A,80000,0.292984798,18212,25784,0.012017711,0.000025233,0.010461889,0.000023687
sophia_lg_A,80000,0.289014095,18212,25784,0.009048259,0.000017679,0.008094914,0.000018057
sophia_lg_A,80000,0.289803569,18212,25784,0.016491347,0.000026448,0.010694966,0.000023985
sophia_lg_A,100000,0.363999602,26436,33356,0.010082728,0.000041783,0.008923326,0.000021887
sophia_lg_A,100000,0.351284921,26436,33356,0.010436374,0.000043551,0.009247856,0.000022135
sophia_lg_A,100000,0.350193984,26436,33360,0.010269893,0.000042058,0.008976952,0.0000223
sophia_lg_A,100000,0.349497937,26436,33356,0.010056803,0.000050055,0.008819561,0.000022078
sophia_lg_A,1000000,3.531871314,153108,200336,0.138025246,0.000211258,0.138064082,0.000212533
sophia_lg_A,1000000,3.488264117,153108,200336,0.137668296,0.000209974,0.136480962,0.000211901
sophia_lg_A,1000000,3.319261805,153108,200336,0.138065906,0.000214461,0.141871585,0.00027656
sophia_lg_A,1000000,3.44216121,153108,200336,0.138405308,0.000212063,0.137215446,0.000213081
