tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_tree,10000,0.033797716,2792,3504,0.001897883,0.000053294,0.001325857,0.000054734
sophia_tree,10000,0.037466645,2792,3504,0.001686005,0.000075432,0.001565958,0.000073673
sophia_tree,10000,0.040904196,2792,3504,0.001900156,0.000076707,0.001723762,0.000077987
sophia_tree,10000,0.042814283,2792,3504,0.001986109,0.000072881,0.001747606,0.000073536
sophia_tree,20000,0.082438715,4916,6244,0.003833357,0.000142512,0.003396118,0.000135864
sophia_tree,20000,0.07957325,4916,6244,0.003714249,0.000138271,0.003283572,0.000137545
sophia_tree,20000,0.078654193,4916,6244,0.003672817,0.00014346,0.003334336,0.000135626
sophia_tree,20000,0.078427924,4916,6244,0.003551523,0.000138859,0.003202952,0.000142206
sophia_tree,40000,0.161172727,9116,11676,0.007175061,0.000279266,0.006348123,0.000283692
sophia_tree,40000,0.145545768,9116,11676,0.007088321,0.000254472,0.006363444,0.000255425
sophia_tree,40000,0.143006339,9116,11676,0.007160016,0.000250584,0.006101758,0.000246579
sophia_tree,40000,0.146133784,9116,11676,0.007041361,0.000260152,0.00634209,0.000272711
sophia_tree,80000,0.280596743,17468,22444,0.014215817,0.00052386,0.01211064,0.000506501
sophia_tree,80000,0.281608129,17468,22444,0.013957382,0.000508961,0.012370669,0.000486631
sophia_tree,80000,0.284535295,17468,22444,0.014115019,0.00053284,0.012163747,0.000540735
sophia_tree,80000,0.281889656,17468,22444,0.014267218,0.000561911,0.012490028,0.000559491
sophia_tree,100000,0.380666398,26904,30576,0.015986819,0.000737037,0.014784403,0.000740037
sophia_tree,100000,0.372466885,26904,30576,0.015969653,0.000661953,0.015018839,0.000664532
sophia_tree,100000,0.362584878,26904,30576,0.015704946,0.000799893,0.014990543,0.000789226
sophia_tree,100000,0.368174443,26904,30576,0.015809533,0.00062186,0.015187137,0.000634666
sophia_tree,1000000,3.6348034240000002,151072,158752,0.23278347,0.008352484,0.234629082,0.008270252
sophia_tree,1000000,3.609278309,151072,158752,0.236308534,0.00829419,0.232465197,0.008277184
sophia_tree,1000000,3.603412068,151072,158752,0.238177503,0.008065559,0.233046834,0.008052172
sophia_tree,1000000,3.464935981,151072,158752,0.233310723,0.008273924,0.317891874,0.011919957
