tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_tree_A,10000,0.035834984,2792,2904,0.000466359,0.00000269,0.000208277,0.000004744
sophia_tree_A,10000,0.042372668,2792,2904,0.00054119,0.00000324,0.000243614,0.000005519
sophia_tree_A,10000,0.042395982,2792,2904,0.000598957,0.000003342,0.00027173,0.000006158
sophia_tree_A,10000,0.044453079,2792,2904,0.000600493,0.000003288,0.000274848,0.000006186
sophia_tree_A,20000,0.087703001,4916,7184,0.00107586,0.000005766,0.00081127,0.000005729
sophia_tree_A,20000,0.080793563,4916,7184,0.001102631,0.000005833,0.000820977,0.000006305
sophia_tree_A,20000,0.080223942,4916,7184,0.001061083,0.000006029,0.000781367,0.000005233
sophia_tree_A,20000,0.079715414,4916,7184,0.001069453,0.000005667,0.000781865,0.000005295
sophia_tree_A,40000,0.148666608,9116,13716,0.002146431,0.000009038,0.00108515,0.000018982
sophia_tree_A,40000,0.144867782,9116,13716,0.002239633,0.000009026,0.001128214,0.000018751
sophia_tree_A,40000,0.14574939,9116,13716,0.002122803,0.000008934,0.001064021,0.000018918
sophia_tree_A,40000,0.147705483,9116,13716,0.002160349,0.00000887,0.001034904,0.000019299
sophia_tree_A,80000,0.286709048,17468,26216,0.004255709,0.000017529,0.003422851,0.00001803
sophia_tree_A,80000,0.280980987,17468,26216,0.004154993,0.00001762,0.003257524,0.000017297
sophia_tree_A,80000,0.279359085,17468,26216,0.00403159,0.000017106,0.003230406,0.000017946
sophia_tree_A,80000,0.277863305,17468,26216,0.004108867,0.000017124,0.003316893,0.0000173
sophia_tree_A,100000,0.366866805,26904,34176,0.004471047,0.000021758,0.002864382,0.000021538
sophia_tree_A,100000,0.364027568,26904,34176,0.004404053,0.000021694,0.002798277,0.000021712
sophia_tree_A,100000,0.365825224,26904,34176,0.004373267,0.000022036,0.002762238,0.000021631
sophia_tree_A,100000,0.3678084,26904,34176,0.004443888,0.000021896,0.002827587,0.000021956
sophia_tree_A,1000000,3.677132068,151072,198228,0.047179446,0.000223693,0.049893398,0.000226677
sophia_tree_A,1000000,3.694033729,151072,198228,0.046517316,0.000230044,0.04926981,0.000232552
sophia_tree_A,1000000,3.477168837,151072,198228,0.048298806,0.000247981,0.060865548,0.0002964
sophia_tree_A,1000000,3.621264232,151072,198228,0.046807886,0.000226214,0.049448302,0.000231262
