tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia,10000,0.056540747,5544,5544,0.000031642,0.000000741,0.000029275,0.000000274
sophia,10000,0.052436239,5544,5544,0.000033972,0.000000707,0.000021196,0.000000324
sophia,10000,0.053900343,5544,5544,0.000032437,0.000000622,0.000021491,0.000000253
sophia,10000,0.051609787,5544,5544,0.000033473,0.000000663,0.000021473,0.000000257
sophia,20000,0.095055319,10088,10088,0.000029591,0.000000588,0.000018642,0.000000234
sophia,20000,0.091932177,10088,10088,0.000028517,0.000000753,0.000017931,0.000000295
sophia,20000,0.090877387,10088,10088,0.000029732,0.000000599,0.000017981,0.000000268
sophia,20000,0.089151814,10088,10088,0.000029642,0.000000652,0.000018983,0.00000031
sophia,40000,0.172336511,18980,18980,0.000027677,0.000000519,0.000017271,0.0000002
sophia,40000,0.167929859,18980,18980,0.000026415,0.000000534,0.000016886,0.000000221
sophia,40000,0.168678387,18980,18980,0.000027777,0.000000545,0.000017832,0.000000208
sophia,40000,0.166571176,18980,18980,0.000028074,0.000000417,0.000018465,0.000000206
sophia,80000,0.332822777,36936,36936,0.000028065,0.000000646,0.000017097,0.000000252
sophia,80000,0.326282063,36936,36936,0.00002804,0.000000667,0.000018236,0.000000254
sophia,80000,0.32666636,36936,36936,0.000028666,0.000000658,0.000018096,0.000000221
sophia,80000,0.32633535,36936,36936,0.000030145,0.000000652,0.000017607,0.000000247
sophia,100000,0.427423508,47048,47048,0.000028114,0.000000572,0.000017306,0.000000231
sophia,100000,0.421760507,47048,47048,0.000027444,0.000000491,0.000017469,0.000000252
sophia,100000,0.421689039,47048,47048,0.000028324,0.000000554,0.000018058,0.000000245
sophia,100000,0.423806687,47048,47048,0.000028489,0.000000554,0.000017799,0.000000209
sophia,1000000,4.363917084,372872,372872,0.000028541,0.000000721,0.000016821,0.000000226
sophia,1000000,4.21899762,372872,372872,0.000029458,0.000000533,0.000017367,0.000000209
sophia,1000000,4.34032935,372872,372872,0.000029341,0.000000444,0.000016407,0.00000026
sophia,1000000,4.233271407,372872,372872,0.000027859,0.000000521,0.00001688,0.000000229
