tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_A,10000,0.055592783,5596,5596,0.000007589,0.000000805,0.000002656,0.000000551
sophia_A,10000,0.052541428,5596,5596,0.000007913,0.000000794,0.000002641,0.000000516
sophia_A,10000,0.050903458,5596,5596,0.000006994,0.000000788,0.000002386,0.000000549
sophia_A,10000,0.049803061,5596,5596,0.00000702,0.00000087,0.000002524,0.000000514
sophia_A,20000,0.094186869,10100,10100,0.00000681,0.000000737,0.000002565,0.000000389
sophia_A,20000,0.091078092,10100,10100,0.000006839,0.000000744,0.000002545,0.000000423
sophia_A,20000,0.089457164,10100,10100,0.000007261,0.000000706,0.000002539,0.00000044
sophia_A,20000,0.090580247,10100,10100,0.000006228,0.000000686,0.00000247,0.000000405
sophia_A,40000,0.192966655,18984,18984,0.000006495,0.000000788,0.000002521,0.000000416
sophia_A,40000,0.171336834,18984,18984,0.000006063,0.000000689,0.000002292,0.00000042
sophia_A,40000,0.167932556,18984,18984,0.000005979,0.000000715,0.000002391,0.000000376
sophia_A,40000,0.169176788,18984,18984,0.000005844,0.000000826,0.000002389,0.000000414
sophia_A,80000,0.333937918,36940,36940,0.00000596,0.000000635,0.000002155,0.000000368
sophia_A,80000,0.329439958,36940,36940,0.00000716,0.000000794,0.000002496,0.000000425
sophia_A,80000,0.329321029,36940,36940,0.00000598,0.000000679,0.000002326,0.000000346
sophia_A,80000,0.328506424,36940,36940,0.000006527,0.000000719,0.0000022,0.000000378
sophia_A,100000,0.431735098,47048,47048,0.000008946,0.000000703,0.000002818,0.000000505
sophia_A,100000,0.536563123,47048,47048,0.000008859,0.000000638,0.000002438,0.000000424
sophia_A,100000,0.423887586,47048,47048,0.000007079,0.00000059,0.000002249,0.000000453
sophia_A,100000,0.427708758,47048,47048,0.000006763,0.000000596,0.000002046,0.000000467
sophia_A,1000000,4.276140717,372880,372880,0.000007455,0.000000727,0.00000215,0.000000374
sophia_A,1000000,4.151317594,372880,372880,0.000010402,0.000000881,0.000002872,0.000000464
sophia_A,1000000,4.077901668,372880,372880,0.000007189,0.00000066,0.000002284,0.000000406
sophia_A,1000000,4.205298374,372880,372880,0.000007789,0.0000007,0.000002253,0.000000376
