tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_full,10000,0.048381069,4372,4504,0.002440091,0.000001691,0.000018488,0.000001089
sophia_full,10000,0.049711974,4372,4504,0.002754598,0.000001919,0.000020401,0.00000118
sophia_full,10000,0.047349332,4372,4504,0.002593058,0.000009747,0.000020128,0.00000108
sophia_full,10000,0.046623737,4372,4504,0.002579772,0.000001919,0.000018583,0.000001097
sophia_full,20000,0.086383571,7528,8300,0.004569708,0.00000159,0.000016735,0.000000861
sophia_full,20000,0.084932627,7528,8300,0.004623228,0.000001732,0.00001779,0.000000889
sophia_full,20000,0.082925945,7528,8300,0.004855219,0.000001529,0.000017397,0.000000922
sophia_full,20000,0.08194571,7528,8300,0.004415205,0.000001631,0.000017739,0.000000903
sophia_full,40000,0.155198649,14360,15916,0.009895165,0.00000166,0.000016292,0.000000887
sophia_full,40000,0.152100719,14360,15916,0.009837068,0.000001608,0.000016135,0.000000885
sophia_full,40000,0.153121107,14360,15916,0.010109842,0.000001642,0.000016455,0.000000856
sophia_full,40000,0.151724349,14360,15916,0.00985587,0.000001599,0.000015792,0.000000828
sophia_full,80000,0.296255462,27992,30784,0.022592838,0.000001783,0.000015592,0.000000943
sophia_full,80000,0.314658286,27992,30784,0.031677126,0.00000209,0.00002215,0.000001195
sophia_full,80000,0.37055048,27992,30784,0.022962373,0.000001729,0.000016056,0.000000908
sophia_full,80000,0.305051984,27992,30784,0.022793015,0.000001875,0.00001441,0.000000945
sophia_full,100000,0.381442281,37652,39484,0.026604663,0.000001479,0.00001531,0.000000721
sophia_full,100000,0.38386386,37652,39484,0.027078478,0.000001518,0.000016162,0.000000847
sophia_full,100000,0.395037696,37652,39484,0.026596403,0.000001602,0.000015062,0.000000787
sophia_full,100000,0.381189386,37652,39484,0.026750237,0.000001665,0.00001587,0.000000797
sophia_full,1000000,3.9532920860000003,314732,352812,0.483045523,0.000001502,0.000015513,0.000000882
sophia_full,1000000,3.7879560850000003,314732,352812,0.483866089,0.000001572,0.000015423,0.000001205
sophia_full,1000000,3.629803452,314732,352812,0.530218833,0.000001533,0.000016163,0.0000008
sophia_full,1000000,3.701597606,314732,352812,0.499939178,0.00000212,0.000029827,0.000001375
