tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_full_A,10000,0.052125194,4372,4504,0.002473035,0.000000946,0.00000278,0.000000729
sophia_full_A,10000,0.048146638,4372,4504,0.002664509,0.000000948,0.000002755,0.000000628
sophia_full_A,10000,0.048828184,4372,4504,0.002458794,0.000000974,0.000002791,0.00000055
sophia_full_A,10000,0.046271241,4372,4504,0.00252808,0.000001058,0.000002849,0.000000544
sophia_full_A,20000,0.087482648,7528,8300,0.00453978,0.000000809,0.000005303,0.000000519
sophia_full_A,20000,0.083841335,7528,8300,0.00446772,0.000000826,0.000004929,0.000000532
sophia_full_A,20000,0.082766876,7528,8300,0.00441591,0.000000882,0.000005436,0.000000589
sophia_full_A,20000,0.08210625,7528,8300,0.004450431,0.000000828,0.000005371,0.000000508
sophia_full_A,40000,0.15584362,14360,15916,0.009905831,0.000000843,0.000003437,0.000000482
sophia_full_A,40000,0.150804306,14360,15916,0.010060772,0.000000818,0.00000378,0.00000058
sophia_full_A,40000,0.152742026,14360,15916,0.009884217,0.000000792,0.000004163,0.000000533
sophia_full_A,40000,0.154835717,14360,15916,0.009948785,0.000000994,0.000003844,0.00000051
sophia_full_A,80000,0.298270455,27992,30784,0.022551894,0.000000915,0.00000609,0.000000456
sophia_full_A,80000,0.293932974,27992,30784,0.022528323,0.000000878,0.000005455,0.000000526
sophia_full_A,80000,0.29289982,27992,30784,0.022474208,0.000000796,0.000004594,0.000000495
sophia_full_A,80000,0.350041212,27992,30784,0.031303856,0.000001496,0.000009865,0.000000674
sophia_full_A,100000,0.441489469,37652,39484,0.027726703,0.000000845,0.000004036,0.000000485
sophia_full_A,100000,0.384185847,37652,39484,0.026485632,0.000000877,0.00000358,0.000000496
sophia_full_A,100000,0.401279285,37652,39484,0.026946528,0.000000973,0.000003833,0.000000597
sophia_full_A,100000,0.384566079,37652,39484,0.026764072,0.000000826,0.000003415,0.000000544
sophia_full_A,1000000,3.77678401,314732,352812,0.474052885,0.000001461,0.000004932,0.000001119
sophia_full_A,1000000,3.59905643,314732,352812,0.577940333,0.000001688,0.000004589,0.000001247
sophia_full_A,1000000,3.621576115,314732,352812,0.47785287,0.000001526,0.000005343,0.000000897
sophia_full_A,1000000,3.7665731669999998,314732,352812,0.482716774,0.000001379,0.000004555,0.000001575
