tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_lg,10000,0.044318203,3448,3448,0.000298461,0.000000385,0.000218589,0.000000285
sophia_lg,10000,0.037582565,3448,3448,0.000373914,0.000000596,0.000292221,0.000000369
sophia_lg,10000,0.04244237,3448,3448,0.000407014,0.000000659,0.000342489,0.000000267
sophia_lg,10000,0.0447813,3448,3448,0.000434013,0.000000585,0.000368592,0.000000281
sophia_lg,20000,0.082910439,5288,5288,0.000778357,0.000000353,0.000583571,0.000000263
sophia_lg,20000,0.079666946,5288,5288,0.00074259,0.000000415,0.000568612,0.000000315
sophia_lg,20000,0.077896942,5288,5288,0.000741528,0.000000412,0.00056066,0.000000372
sophia_lg,20000,0.078773846,5288,5288,0.000772508,0.000000474,0.000568391,0.000000294
sophia_lg,40000,0.146720144,9628,9628,0.001533188,0.000000388,0.001171089,0.000000391
sophia_lg,40000,0.140829054,9628,9628,0.001527211,0.000000307,0.00105616,0.000000361
sophia_lg,40000,0.143888447,9628,9628,0.001539177,0.000000502,0.001123552,0.000000424
sophia_lg,40000,0.143410538,9628,9628,0.001509417,0.000000471,0.001055173,0.000000595
sophia_lg,80000,0.274811378,18212,18212,0.003198073,0.000000584,0.002379493,0.00000066
sophia_lg,80000,0.272388316,18212,18212,0.003009652,0.000000475,0.002374414,0.00000061
sophia_lg,80000,0.273672668,18212,18212,0.003201596,0.000000598,0.002425338,0.000000896
sophia_lg,80000,0.272733459,18212,18212,0.003113788,0.000000695,0.002337625,0.000000634
sophia_lg,100000,0.355569903,26436,26436,0.00387683,0.000000664,0.003019855,0.00000061
sophia_lg,100000,0.351376136,26436,26436,0.003852214,0.000000417,0.003331317,0.000000493
sophia_lg,100000,0.35560497,26436,26436,0.003954248,0.000000471,0.003026212,0.000000597
sophia_lg,100000,0.366598875,26436,26436,0.003921668,0.000000548,0.00298682,0.00000055
sophia_lg,1000000,3.5686007,153108,153244,0.071299338,0.00000188,0.070213256,0.000001866
sophia_lg,1000000,3.468328057,153108,153244,0.069722102,0.00000237,0.069396925,0.000001619
sophia_lg,1000000,3.290034399,153108,153244,0.069945718,0.000002209,0.070035687,0.000002113
sophia_lg,1000000,3.520425607,153108,153244,0.071862958,0.000002651,0.071740299,0.000002654
