tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_tree,10000,0.05100017,2792,3188,0.002028075,0.000001619,0.00001947,0.000001128
sophia_tree,10000,0.047851449,2792,3188,0.002039158,0.00000214,0.000020546,0.000000872
sophia_tree,10000,0.047018397,2792,3188,0.00203637,0.000001838,0.000020674,0.000001497
sophia_tree,10000,0.046378785,2792,3188,0.001837449,0.000001463,0.000017551,0.00000104
sophia_tree,20000,0.084387062,4916,5580,0.003396307,0.000001297,0.000016845,0.000000802
sophia_tree,20000,0.080005843,4916,5580,0.00336987,0.000001294,0.000015945,0.000000848
sophia_tree,20000,0.080310317,4916,5580,0.003304064,0.000001408,0.000016416,0.000000792
sophia_tree,20000,0.081234567,4916,5580,0.003299471,0.000001379,0.000015324,0.000000795
sophia_tree,40000,0.150390106,9116,10312,0.00662456,0.000001418,0.000015083,0.000000762
sophia_tree,40000,0.145671666,9116,10312,0.006586957,0.000001157,0.00001437,0.000000792
sophia_tree,40000,0.146839633,9116,10312,0.00674637,0.0000013,0.000014232,0.000000715
sophia_tree,40000,0.152234548,9116,10312,0.006711716,0.000001285,0.000015228,0.000000772
sophia_tree,80000,0.284915195,17468,19844,0.013635584,0.000001538,0.000014922,0.000000757
sophia_tree,80000,0.28205735,17468,19844,0.013963738,0.000001335,0.000016065,0.00000089
sophia_tree,80000,0.280908682,17468,19844,0.013624443,0.000001344,0.000014085,0.000000699
sophia_tree,80000,0.2843469,17468,19844,0.013578587,0.000001506,0.000015442,0.000000759
sophia_tree,100000,0.368161402,26904,28356,0.01708594,0.000001498,0.000015782,0.000000808
sophia_tree,100000,0.36693573,26904,28356,0.016889032,0.000001465,0.000015132,0.000000796
sophia_tree,100000,0.382008269,26904,28356,0.016923226,0.000001295,0.000014354,0.000000685
sophia_tree,100000,0.367104546,26904,28356,0.017321368,0.000001345,0.000015544,0.000000699
sophia_tree,1000000,3.692039532,151072,180112,0.238145968,0.000001415,0.000015212,0.000000761
sophia_tree,1000000,3.595904719,151072,180112,0.23901236,0.000001536,0.000014477,0.000000772
sophia_tree,1000000,3.6145416580000003,151072,180112,0.280533361,0.000001335,0.000014831,0.000000708
sophia_tree,1000000,3.502084122,151072,180112,0.240711833,0.000001364,0.000015072,0.000000694
