tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_array,10000,0.028092075,7432,7612,0.000220649,0.000000866,0.000193711,0.000000636
sophia_array,10000,0.026680552,7432,7612,0.000210475,0.000000713,0.000179034,0.000000454
sophia_array,10000,0.032863555,7432,7612,0.000212368,0.000000733,0.00017743,0.000000614
sophia_array,10000,0.027558261,7432,7612,0.000311015,0.000001036,0.00027581,0.000000737
sophia_array,20000,0.054584824,14168,14644,0.000427683,0.000000648,0.000415952,0.000000851
sophia_array,20000,0.054788918,14168,14644,0.000428948,0.000000892,0.000385547,0.000000596
sophia_array,20000,0.054586278,14168,14644,0.000448049,0.000000823,0.00039073,0.000000474
sophia_array,20000,0.057463931,14168,14644,0.000453732,0.000000882,0.000391767,0.000000623
sophia_array,40000,0.109070581,27724,28532,0.000857823,0.000000809,0.000830932,0.00000062
sophia_array,40000,0.117221595,27724,28532,0.000905304,0.000000837,0.000941008,0.000000776
sophia_array,40000,0.1190446,27724,28532,0.001119415,0.000001233,0.001106288,0.000000773
sophia_array,40000,0.119292833,27724,28532,0.000917054,0.000000824,0.000852,0.000000681
sophia_array,80000,0.220727893,54736,56344,0.001715194,0.00000086,0.001638359,0.000000512
sophia_array,80000,0.225579727,54736,56344,0.002050376,0.000000965,0.002234988,0.000000998
sophia_array,80000,0.253685093,54736,56344,0.002312276,0.000001244,0.002075131,0.000000924
sophia_array,80000,0.263054679,54736,56344,0.002091761,0.000001082,0.002219033,0.000000815
sophia_array,100000,0.303037889,59108,60652,0.002268674,0.000000879,0.002101231,0.000000651
sophia_array,100000,0.273414019,59108,60652,0.002189124,0.000000929,0.002006446,0.00000055
sophia_array,100000,0.255333745,59108,60652,0.002143424,0.000000751,0.001979402,0.000000542
sophia_array,100000,0.248760908,59108,60652,0.002111531,0.000000726,0.001950773,0.000000528
sophia_array,1000000,2.430396365,510788,523180,0.020516782,0.000001986,0.018874162,0.000001335
sophia_array,1000000,2.229857704,510788,523180,0.020254568,0.00000158,0.018637095,0.000000762
sophia_array,1000000,2.430125411,510788,523180,0.020909955,0.000001227,0.019214072,0.000001273
sophia_array,1000000,2.237436976,510788,523180,0.020195596,0.000001246,0.01869456,0.000001774
