tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_lg_A,10000,0.044108284,3448,3448,0.000348402,0.000000837,0.000258733,0.000000515
sophia_lg_A,10000,0.041936073,3448,3448,0.000364001,0.000001076,0.000276503,0.000000613
sophia_lg_A,10000,0.043354024,3448,3448,0.000321759,0.00000089,0.000266752,0.00000058
sophia_lg_A,10000,0.042939257,3448,3448,0.000328349,0.000000788,0.000267234,0.000000482
sophia_lg_A,20000,0.081565779,5288,5288,0.000615909,0.000000764,0.000479362,0.00000061
sophia_lg_A,20000,0.079362295,5288,5288,0.000632023,0.000000875,0.000501937,0.000000719
sophia_lg_A,20000,0.079578283,5288,5288,0.000659374,0.000000788,0.000501737,0.000000602
sophia_lg_A,20000,0.080350258,5288,5288,0.000629026,0.000000747,0.000480722,0.000000592
sophia_lg_A,40000,0.161640506,9628,9628,0.001405055,0.00000101,0.001610312,0.000001762
sophia_lg_A,40000,0.169069147,9628,9628,0.001345842,0.000000972,0.001020017,0.000000575
sophia_lg_A,40000,0.166017569,9628,9628,0.001318672,0.000000899,0.000981838,0.000000642
sophia_lg_A,40000,0.160313671,9628,9628,0.002243063,0.00000133,0.00108274,0.000000677
sophia_lg_A,80000,0.3487829,18212,18212,0.003489469,0.000002654,0.003340492,0.000001163
sophia_lg_A,80000,0.372169481,18212,18212,0.003718226,0.000002064,0.003919026,0.000002275
sophia_lg_A,80000,0.326617443,18212,18212,0.002729029,0.000001178,0.002224775,0.000001089
sophia_lg_A,80000,0.296645539,18212,18212,0.002582058,0.000001691,0.00200158,0.000001055
sophia_lg_A,100000,0.362591595,26436,26436,0.003323897,0.000001986,0.002468288,0.000001952
sophia_lg_A,100000,0.353762627,26436,26436,0.003219152,0.000001449,0.002472987,0.00000155
sophia_lg_A,100000,0.347273146,26436,26436,0.003289022,0.000001576,0.002588967,0.000001053
sophia_lg_A,100000,0.347597492,26436,26436,0.003398512,0.00000145,0.00267349,0.000001159
sophia_lg_A,1000000,3.400322127,153108,153244,0.054957541,0.000003746,0.055200252,0.000003773
sophia_lg_A,1000000,3.556631912,153108,153244,0.055946641,0.000002632,0.055172905,0.000002465
sophia_lg_A,1000000,3.270884841,153108,153244,0.05528653,0.000003554,0.054971703,0.000003418
sophia_lg_A,1000000,3.4338644,153108,153244,0.055020319,0.000003008,0.055090866,0.000003278
