tool,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
sophia_tree_A,10000,0.042277788,2792,3188,0.001715729,0.000001765,0.000003979,0.00000052
sophia_tree_A,10000,0.047891551,2792,3188,0.001808883,0.000000804,0.000002865,0.00000049
sophia_tree_A,10000,0.045555783,2792,3188,0.001725789,0.000000984,0.000003054,0.000000441
sophia_tree_A,10000,0.046551296,2792,3188,0.001805318,0.000001849,0.000004113,0.00000055
sophia_tree_A,20000,0.087305717,4916,5580,0.003434556,0.000001138,0.000003146,0.000000471
sophia_tree_A,20000,0.090760366,4916,5580,0.003480991,0.000001342,0.000003021,0.000000469
sophia_tree_A,20000,0.085635039,4916,5580,0.003425783,0.000001056,0.000003079,0.000000428
sophia_tree_A,20000,0.084839264,4916,5580,0.003273094,0.000000978,0.000002812,0.000000418
sophia_tree_A,40000,0.181910671,9116,10312,0.008551388,0.000002278,0.000004776,0.000000544
sophia_tree_A,40000,0.175799393,9116,10312,0.007310722,0.000000998,0.000003437,0.000000507
sophia_tree_A,40000,0.16224395,9116,10312,0.007077245,0.000001097,0.00000343,0.000000459
sophia_tree_A,40000,0.172582902,9116,10312,0.007547551,0.000001571,0.000003899,0.000000512
sophia_tree_A,80000,0.373796539,17468,19844,0.017598791,0.000002037,0.000004897,0.000000514
sophia_tree_A,80000,0.39364372,17468,19844,0.016213881,0.000001798,0.000004318,0.000000477
sophia_tree_A,80000,0.324725634,17468,19844,0.014377578,0.000001201,0.000004497,0.00000043
sophia_tree_A,80000,0.298459418,17468,19844,0.013402002,0.000001645,0.000003099,0.000000461
sophia_tree_A,100000,0.376901823,26904,28356,0.016249114,0.000001453,0.000003304,0.000000455
sophia_tree_A,100000,0.364287765,26904,28356,0.016229119,0.00000141,0.000003534,0.000000365
sophia_tree_A,100000,0.363086438,26904,28356,0.016132944,0.000001392,0.000003836,0.000000391
sophia_tree_A,100000,0.364252268,26904,28356,0.01565358,0.000001326,0.0000036,0.000000354
sophia_tree_A,1000000,3.6271884610000003,151072,180112,0.2278458,0.000001391,0.000004256,0.000000363
sophia_tree_A,1000000,3.574121501,151072,180112,0.228584067,0.00000135,0.000003889,0.000000425
sophia_tree_A,1000000,3.5269604450000003,151072,180112,0.292127451,0.000001825,0.000004597,0.000000456
sophia_tree_A,1000000,3.518069859,151072,180112,0.227816314,0.000001879,0.000003397,0.000000477
